trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
B20121216SUN_091550_A..N54R,15:44:30,15:44:30,A40N,14,,0,0,
B20121216SUN_078950_A..S55R,13:50:30,13:50:30,A40S,17,,0,0,
B20121216SUN_090450_A..N55R,15:54:30,15:54:30,A40N,20,,0,0,
B20121216SUN_079950_A..S54R,14:00:30,14:00:30,A40S,17,,0,0,
B20121216SUN_093550_A..N54R,16:04:30,16:04:30,A40N,14,,0,0,
B20121216SUN_080950_A..S55R,14:10:30,14:10:30,A40S,17,,0,0,
B20121216SUN_092450_A..N55R,16:14:30,16:14:30,A40N,20,,0,0,
B20121216SUN_095550_A..N54R,16:24:30,16:24:30,A40N,14,,0,0,
B20121216SUN_081950_A..S54R,14:20:30,14:20:30,A40S,17,,0,0,
B20121216SUN_082950_A..S55R,14:30:30,14:30:30,A40S,17,,0,0,
B20121216SUN_094450_A..N55R,16:34:30,16:34:30,A40N,20,,0,0,
B20121216SUN_097550_A..N54R,16:44:30,16:44:30,A40N,14,,0,0,
B20121216SUN_083950_A..S54R,14:40:30,14:40:30,A40S,17,,0,0,
B20121216SUN_084950_A..S55R,14:50:30,14:50:30,A40S,17,,0,0,
B20121216SUN_096450_A..N55R,16:54:30,16:54:30,A40N,20,,0,0,
B20121216SUN_099550_A..N54R,17:04:30,17:04:30,A40N,14,,0,0,
B20121216SUN_085950_A..S54R,15:00:30,15:00:30,A40S,17,,0,0,
B20121216SUN_086950_A..S55R,15:10:30,15:10:30,A40S,17,,0,0,
B20121216SUN_098450_A..N55R,17:14:30,17:14:30,A40N,20,,0,0,
B20121216SUN_101550_A..N54R,17:24:30,17:24:30,A40N,14,,0,0,
B20121216SUN_087950_A..S54R,15:20:30,15:20:30,A40S,17,,0,0,
B20121216SUN_088950_A..S55R,15:30:30,15:30:30,A40S,17,,0,0,
B20121216SUN_100450_A..N55R,17:34:30,17:34:30,A40N,20,,0,0,
B20121216SUN_103550_A..N54R,17:44:30,17:44:30,A40N,14,,0,0,
B20121216SUN_089950_A..S54R,15:40:30,15:40:30,A40S,17,,0,0,
B20121216SUN_090950_A..S55R,15:50:30,15:50:30,A40S,17,,0,0,
B20121216SUN_102450_A..N55R,17:54:30,17:54:30,A40N,20,,0,0,
B20121216SUN_105550_A..N54R,18:04:30,18:04:30,A40N,14,,0,0,
B20121216SUN_091950_A..S54R,16:00:30,16:00:30,A40S,17,,0,0,
B20121216SUN_092950_A..S55R,16:10:30,16:10:30,A40S,17,,0,0,
B20121216SUN_104450_A..N55R,18:14:30,18:14:30,A40N,20,,0,0,
B20121216SUN_107550_A..N54R,18:24:30,18:24:30,A40N,14,,0,0,
B20121216SUN_093950_A..S54R,16:20:30,16:20:30,A40S,17,,0,0,
B20121216SUN_094950_A..S55R,16:30:30,16:30:30,A40S,17,,0,0,
B20121216SUN_106450_A..N55R,18:34:30,18:34:30,A40N,20,,0,0,
B20121216SUN_095950_A..S54R,16:40:30,16:40:30,A40S,17,,0,0,
B20121216SUN_109550_A..N54R,18:44:30,18:44:30,A40N,14,,0,0,
B20121216SUN_096950_A..S55R,16:50:30,16:50:30,A40S,17,,0,0,
B20121216SUN_108450_A..N55R,18:54:30,18:54:30,A40N,20,,0,0,
B20121216SUN_097950_A..S54R,17:00:30,17:00:30,A40S,17,,0,0,
B20121216SUN_111550_A..N54R,19:04:30,19:04:30,A40N,14,,0,0,
B20121216SUN_098950_A..S55R,17:10:30,17:10:30,A40S,17,,0,0,
B20121216SUN_110450_A..N55R,19:14:30,19:14:30,A40N,20,,0,0,
B20121216SUN_113550_A..N54R,19:24:30,19:24:30,A40N,14,,0,0,
B20121216SUN_099950_A..S54R,17:20:30,17:20:30,A40S,17,,0,0,
B20121216SUN_100950_A..S55R,17:30:30,17:30:30,A40S,17,,0,0,
B20121216SUN_112500_A..N55R,19:35:00,19:35:00,A40N,20,,0,0,
B20121216SUN_115800_A..N54R,19:47:00,19:47:00,A40N,14,,0,0,
B20121216SUN_101950_A..S54R,17:40:30,17:40:30,A40S,17,,0,0,
B20121216SUN_102950_A..S55R,17:50:30,17:50:30,A40S,17,,0,0,
B20121216SUN_114900_A..N55R,19:59:00,19:59:00,A40N,20,,0,0,
B20121216SUN_103950_A..S54R,18:00:30,18:00:30,A40S,17,,0,0,
B20121216SUN_104950_A..S55R,18:10:30,18:10:30,A40S,17,,0,0,
B20121216SUN_105950_A..S54R,18:20:30,18:20:30,A40S,17,,0,0,
B20121216SUN_118200_A..N54R,20:11:00,20:11:00,A40N,14,,0,0,
B20121216SUN_106950_A..S55R,18:30:30,18:30:30,A40S,17,,0,0,
B20121216SUN_117300_A..N55R,20:23:00,20:23:00,A40N,20,,0,0,
B20121216SUN_107950_A..S54R,18:40:30,18:40:30,A40S,17,,0,0,
B20121216SUN_120600_A..N54R,20:35:00,20:35:00,A40N,14,,0,0,
B20121216SUN_108950_A..S55R,18:50:30,18:50:30,A40S,17,,0,0,
B20121216SUN_119700_A..N55R,20:47:00,20:47:00,A40N,20,,0,0,
B20121216SUN_109950_A..S54R,19:00:30,19:00:30,A40S,17,,0,0,
B20121216SUN_123000_A..N54R,20:59:00,20:59:00,A40N,14,,0,0,
B20121216SUN_110950_A..S55R,19:10:30,19:10:30,A40S,17,,0,0,
B20121216SUN_122100_A..N55R,21:11:00,21:11:00,A40N,20,,0,0,
B20121216SUN_125400_A..N54R,21:23:00,21:23:00,A40N,14,,0,0,
B20121216SUN_111750_A..S54R,19:18:30,19:18:30,A40S,17,,0,0,
B20121216SUN_112950_A..S55R,19:30:30,19:30:30,A40S,17,,0,0,
B20121216SUN_124500_A..N55R,21:35:00,21:35:00,A40N,20,,0,0,
B20121216SUN_127800_A..N54R,21:47:00,21:47:00,A40N,14,,0,0,
B20121216SUN_113950_A..S54R,19:40:30,19:40:30,A40S,17,,0,0,
B20121216SUN_114950_A..S55R,19:50:30,19:50:30,A40S,17,,0,0,
B20121216SUN_115950_A..S54R,20:00:30,20:00:30,A40S,17,,0,0,
B20121216SUN_116950_A..S55R,20:10:30,20:10:30,A40S,17,,0,0,
B20121216SUN_126900_A..N55R,21:59:00,21:59:00,A40N,20,,0,0,
B20121216SUN_130200_A..N54R,22:11:00,22:11:00,A40N,14,,0,0,
B20121216SUN_117750_A..S54R,20:18:30,20:18:30,A40S,17,,0,0,
B20121216SUN_118950_A..S55R,20:30:30,20:30:30,A40S,17,,0,0,
B20121216SUN_129550_A..N55R,22:26:30,22:26:30,A40N,20,,0,0,
B20121216SUN_133150_A..N54R,22:41:30,22:41:30,A40N,14,,0,0,
B20121216SUN_119950_A..S54R,20:40:30,20:40:30,A40S,17,,0,0,
B20121216SUN_120950_A..S55R,20:50:30,20:50:30,A40S,17,,0,0,
B20121216SUN_132000_A..N09R,22:56:00,22:56:00,A40N,29,,0,0,
B20121216SUN_121950_A..S54R,21:00:30,21:00:30,A40S,17,,0,0,
B20121216SUN_135800_A..N04R,23:11:00,23:11:00,A40N,23,,0,0,
B20121216SUN_122950_A..S55R,21:10:30,21:10:30,A40S,17,,0,0,
B20121216SUN_123750_A..S54R,21:18:30,21:18:30,A40S,17,,0,0,
B20121216SUN_124950_A..S55R,21:30:30,21:30:30,A40S,17,,0,0,
B20121216SUN_135000_A..N09R,23:26:00,23:26:00,A40N,29,,0,0,
B20121216SUN_138800_A..N04R,23:41:00,23:41:00,A40N,23,,0,0,
